"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"Here, There and Everywhere","Revolver",1966,70,145,7,1,165.361,4,0.36,0.29,0.247,-12.125,0.921,0.00565,0.0917,0.0383,"McCartney","McCartney","Soft Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","middle","here there and everywhere"
"Hey Bulldog","Yellow Submarine",1968,55,194,7,1,100.495,4,0.947,0.587,0.617,-9.164,0.0197,0.639,0.199,0.028,"Lennon","Lennon","Psychedelic Rock, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Hard Rock, Psychedelic/Garage, Rock & Roll, British Psychedelia, Early Pop/Rock","late","hey bulldog"
"Hold Me Tight","With The Beatles",1963,50,152,5,1,135.731,4,0.963,0.54,0.744,-9.637,0.664,0,0.21,0.0312,"Lennon / McCartney","McCartney","Rock & Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","hold me tight"
"Honey Don't","Beatles For Sale",1964,46,173,4,1,162.438,4,0.735,0.629,0.545,-11.466,0.473,5.08e-05,0.0854,0.0348,"Perkins","Starkey","Rockabilly, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll, Rockabilly","early","honey dont"
"Honey Pie","The Beatles",1968,53,161,7,1,144.197,4,0.553,0.537,0.297,-15.452,0.88,1.5e-05,0.145,0.0822,"McCartney","McCartney","Music Hall, Jazz, Ragtime, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock","late","honey pie"
"I Am the Walrus","Magical Mystery Tour",1967,64,273,2,1,85.206,4,0.654,0.401,0.556,-10.532,0.0828,0.000359,0.589,0.0513,"Lennon","Lennon","Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage","middle","i am the walrus"
"I Don't Want to Spoil the Party","Beatles For Sale",1964,46,153,7,1,95.438,4,0.889,0.533,0.668,-7.237,0.451,0,0.149,0.033,"Lennon","Lennon","Country Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock","early","i dont want to spoil the party"
"I Me Mine","Let It Be",1970,57,145,9,0,185.235,3,0.525,0.291,0.638,-7.854,0.179,0,0.101,0.0554,"Harrison","Harrison","Folk blues, Hard Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","late","i me mine"
"I Need You","Help!",1965,57,148,9,1,136.215,4,0.638,0.601,0.489,-8.554,0.277,0,0.0988,0.0455,"Harrison","Harrison","Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","early","i need you"
"I Saw Her Standing There","Please Please Me",1963,71,175,4,1,160.109,4,0.971,0.491,0.801,-9.835,0.27,0,0.0665,0.0361,"Lennon / McCartney","McCartney, with Lennon","Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Rock & Roll","early","i saw her standing there"
